2000 2000
1863 1888 469116467
1192 1172 472762705
1430 1340 589392402
1811 1776 36131989
1121 1242 847213523
1068 1232 907511870
1989 1908 498417745
963 874 732013325
258 449 933325615
688 587 7761756
884 848 247713760
1573 1491 801219813
354 407 305637462
1043 1092 664485963
1743 1853 435255387
327 370 214877598
1221 1152 306069381
1583 1584 567711862
836 744 299261406
492 482 182805677
1378 1422 621912864
1140 1196 194702306
1882 1733 731104581
1446 1430 149011316
304 260 531103571
1036 994 802727031
675 1045 41144222
1700 1662 476088773
1886 1838 870072542
471 466 440875437
1949 1948 187663067
1542 1431 484512689
906 945 446835094
1111 1051 551460492
587 547 115997236
1309 1405 40605058
992 1059 624340873
66 28 181719109
434 474 702486311
1729 1773 493131081
795 881 528165425
865 874 379451311
1257 1356 74497087
283 182 707815167
1093 1030 370720179
1132 1102 606970797
777 965 447384944
1233 1183 307678172
1588 1622 252146427
431 614 162832456
491 88 721652050
389 384 769042537
1457 1374 339994102
547 402 248882040
1325 1476 145053531
1308 1163 251785698
1711 1796 542755442
280 189 707773879
613 565 754273718
662 541 504057679
1420 1444 425100206
1195 596 648646984
1043 1171 629937807
1589 1624 444970907
730 791 595350130
1742 1737 743621059
1290 1412 682423399
1089 1126 647380189
178 715 968883922
393 496 451494369
1735 1712 666216868
635 766 57610435
1322 1420 341118868
961 786 615646631
239 272 944743750
1610 1776 701021845
972 884 33905662
1656 1579 48912360
42 87 54186918
470 480 84451673
1539 1521 821098625
1681 1586 833505937
1297 1155 667186567
1294 1343 248465272
374 349 3930587
264 303 974186690
1395 1268 742242664
972 962 739023037
1168 1268 566935955
1662 1672 987565625
1239 1238 844737869
449 470 134175442
465 387 410319350
457 285 908995149
1857 1931 548909688
1317 1121 94545086
1161 1304 614644664
1283 1387 984506509
1795 1788 631264867
820 863 63796193
1850 1680 824503347
1853 1875 387397212
306 274 721746782
1644 1638 373928737
1724 1823 272572738
516 608 471972818
1017 934 808632966
1414 1227 280404917
1448 1261 416659650
1826 1875 968123617
1962 1964 505293466
24 28 113517430
233 84 839634904
228 355 438421385
1769 1749 293284877
1605 1704 163755150
109 61 422229143
609 570 543828650
595 538 949826646
1145 1057 523625113
1247 1139 44416900
663 629 643587299
1235 1233 212542575
1388 1341 44520716
25 13 260484792
990 901 916696604
617 701 781581250
1104 1028 285790375
548 618 867291614
95 181 533607748
341 367 214335485
711 706 957780296
1358 1222 870219010
108 17 333969636
1851 1803 479252406
1017 1025 137625613
482 386 29146823
1407 1569 509115023
1486 1358 417579516
698 987 38729601
1046 1014 246709797
1056 1020 89313935
1071 1062 40239315
1461 1450 861559970
1568 1436 65848560
1675 1642 452917424
556 568 972119236
1249 1171 533213822
1892 1774 637098635
14 140 68234415
1175 1264 692852384
832 964 948175306
1452 1588 933256267
355 275 808406202
944 1042 448369856
1725 1729 360974442
91 143 704191054
600 687 869785983
895 833 821979060
581 737 32363374
1 202 70716632
1520 1524 251521348
1811 1795 381726762
213 44 287864010
216 293 739131966
637 598 597597173
885 929 186133040
1175 1041 732551269
1097 1000 452085493
1189 1209 20816632
1380 1414 514783499
1170 1145 270890241
1797 1707 662021691
157 100 666770492
103 25 930789986
845 762 541526978
1134 1064 717571466
521 584 555191395
1984 1977 719120732
81 132 687351613
615 527 375761545
232 102 518200216
1709 1683 582350963
1392 1336 5452823
973 878 472675502
1392 1256 598528745
145 298 336102822
1624 1626 853982526
341 325 40642512
1044 1037 389616318
1445 1516 242726496
661 658 226629081
1207 1214 488312999
1932 1923 779033714
159 278 62011453
487 250 506261055
112 235 519366878
1143 1282 496519522
748 751 168817877
1934 1803 182230014
439 441 870374944
932 947 563424268
961 1050 120220252
1266 1211 769583597
100 93 366425402
421 543 914688164
628 672 754006149
694 615 574529286
77 82 953913965
952 1095 973987256
452 523 25650130
1419 1496 553878776
967 823 393672799
461 391 373628872
1784 1707 881541465
1930 1877 848906266
1685 1668 46048639
548 528 406461996
460 620 191802623
617 754 24134255
1392 1413 333269502
357 445 7274195
657 689 64797218
1492 1386 959998055
1503 1678 295289177
292 390 527233293
527 413 745091657
1004 1082 755004267
318 219 419796783
203 321 663313255
1152 927 881133784
1254 1173 989092318
732 290 734446636
617 572 50898958
728 564 27690063
1093 1081 794090998
1278 1259 910866680
612 538 979602076
657 554 840364883
1487 1614 709416219
1578 1651 344164522
1413 1471 24638619
235 279 548324940
1874 1814 586152814
1627 1743 32091890
1394 1292 29616698
758 654 844073677
252 271 856410526
6 34 893531398
1929 1949 14774200
1277 1370 8012694
1505 1553 321851646
371 261 67095652
1796 1884 844416520
1089 1013 442542931
926 873 925703189
784 741 680176711
953 867 225457880
1637 1646 997591744
1473 1498 193722629
864 955 117092901
749 682 36842633
439 320 601806608
408 429 358303323
897 889 832361290
1860 1933 391665158
11 73 997427508
400 402 828719761
669 659 259655226
542 513 793415354
1532 1418 701034409
1623 1614 777571923
532 376 437022004
1018 978 490498285
208 309 150258301
1076 1086 508997113
148 337 182830616
1185 1077 143813055
1551 1708 395251182
151 391 50731070
1337 1438 9667506
890 667 643903886
1464 1606 985744831
1779 1748 947571051
1629 1525 384391203
736 664 240583598
1070 1131 18530891
1085 1105 986483297
1087 1131 288611518
48 4 763930026
1191 1142 53092675
1571 1534 415204773
1287 1290 21584432
1528 1520 698732021
1529 1602 502142950
408 315 671238925
719 768 786544045
1672 1750 19025078
1645 1680 579815484
1929 1763 75438678
1767 1893 49623437
639 678 222520334
35 104 164040987
790 660 198052456
336 379 488853621
1922 1880 293084126
1366 1385 119022214
944 935 202362868
1053 1072 111321550
1845 1975 513230547
43 23 52256231
1584 1690 755404930
83 33 839740833
412 629 444964122
197 311 728957988
1080 885 747896421
968 1137 135699783
1364 1432 72946027
1733 1728 775332507
337 358 777247873
15 122 865352853
1891 1735 624542339
1452 1349 815789290
1261 1231 337984241
1105 1252 673916870
1152 1096 66887127
1807 1838 979581186
933 836 748150170
1536 1390 228045375
1328 1244 388221972
162 247 17194816
1123 1026 509730996
866 865 67585082
1978 1981 471634771
1634 1467 134389139
1652 1593 370295607
1262 1325 959220640
62 36 850845733
1151 1279 56806400
765 723 678927393
643 626 228134358
1164 1072 329353878
1051 1088 515532713
1660 1634 243220738
1721 1879 28881450
1551 1486 52999494
916 830 136268664
401 489 276248591
555 657 971444530
729 711 720195061
1447 1329 883533702
1037 1142 258346677
26 127 630005643
1531 1565 31597733
1860 1912 941024708
93 89 359467071
369 473 32077431
732 726 146384
1681 1792 827865697
1575 1731 56633718
1316 1179 765616712
1230 1439 234481550
1427 1476 47668358
1955 1925 976987409
38 56 356253721
379 395 247469181
646 647 350862791
691 742 777347826
612 641 428658601
1878 1962 600138937
1862 1792 527088591
894 935 503830868
686 776 953224003
1867 1813 617106431
1595 1701 665697002
521 473 562998173
1177 1172 246724153
1781 1746 289263606
1222 1132 625799272
1221 1346 56198323
40 103 709886280
984 956 70792978
731 899 541248298
444 550 58135261
114 235 572874186
1917 1631 239023965
499 525 43571420
566 526 668283185
300 426 982805659
1460 1540 984065122
871 909 868511851
1338 1272 600668116
171 424 514310448
1192 1219 994835102
1875 1987 55151660
1829 1944 993631446
423 433 874730785
1141 1320 851347622
1943 1963 962130922
1973 1994 126313244
1173 1148 590895350
386 351 802586979
1137 1201 889924028
693 734 150106299
785 683 180581385
1428 1384 230920584
1639 1713 896301604
768 852 420177772
1297 1276 617357975
1984 1887 419081817
1549 1637 203387814
648 518 650610497
295 302 776292525
1550 1518 899373337
242 204 424458590
1656 1781 381436176
1076 1012 786459943
340 384 798472469
1481 1505 463942721
1414 1503 211870974
1171 1281 55080483
819 948 7664686
1545 1568 614327747
899 904 68415912
7 190 801130595
509 570 703589803
482 524 550475964
347 306 90590442
1399 1591 302921217
733 707 871734005
262 41 791045811
659 593 47305822
79 74 328515273
436 452 331560870
872 824 58422548
1309 1288 194655096
351 347 451447261
585 591 808382310
375 457 914334917
446 382 562197146
1756 1596 457474673
1210 1129 351941892
469 390 856082595
1670 1629 145965703
106 50997756
1876 5345319
194 622264036
1259 810580570
38 990541315
524 661870110
51 142034462
1798 418717964
788 979014431
310 99677430
623 478032106
1350 176371897
84 259325541
974 276755223
1324 209142955
139 15011728
695 474035703
478 727925897
736 919070173
14 7361646
1238 686349353
1862 17126777
1300 741652940
758 486844355
513 887501104
1140 248862305
116 85044350
159 704614468
1195 659954083
148 997068407
1168 730229548
615 377768530
1963 474042610
1325 109034096
91 191916443
1386 870702894
1227 248604877
1801 285763905
1455 690844379
1250 772586467
1663 745126411
1193 353411952
1260 776309762
44 736441961
1631 874040792
1239 145002554
166 57305903
327 587105230
65 129420722
873 829034001
931 889895993
1919 847452640
1186 659866479
564 884912692
1587 722532759
1689 580945801
1148 737671507
1956 169193764
256 996092262
374 56877217
958 3312022
887 695751958
1296 358771819
733 529983838
1190 167804818
1922 607381023
597 72464335
1105 767025334
1321 108894505
1966 98481211
322 392028995
720 122138845
1980 179259677
1553 398849883
707 968002203
464 303306825
886 829441854
312 781392908
465 517298376
483 41515336
147 30280347
1924 374345805
981 644978353
869 609830302
117 850223805
697 795893005
1281 446164324
30 215705519
1216 497040254
1423 28449660
446 627750780
1754 625251623
1227 341068360
1645 803445230
1094 240261085
316 338662969
247 687633916
218 921140609
1415 282774850
928 884388451
1001 399708159
125 962503068
1351 38660698
1437 673691919
1918 223348951
1836 427850718
629 272016570
754 140905877
646 818633044
676 9607440
1210 424141304
415 498394451
1125 497728766
360 732313762
1840 228455820
1643 615160741
370 491029798
178 165162011
1733 904104935
1155 53122113
1849 17372861
885 112812438
1243 848595095
1857 49547546
916 459605361
2000 724542561
980 66951453
252 427472246
969 660157383
1538 747896586
1523 120936122
413 18586230
283 740484955
1858 589570142
1491 996717673
1226 407485511
1297 51480985
670 401352536
1984 35745526
335 490070180
410 805035732
729 50267632
1192 896512550
1084 25058436
1155 814894810
1836 35541470
1188 50017240
312 738389589
1077 472920039
1997 120676805
935 675793046
1195 181193316
1118 117125143
1316 67309690
765 513769256
1250 532520995
1056 56734815
790 781230663
1038 982859251
1543 539638925
1882 101620192
1092 440941824
1565 350869599
624 342725926
950 412582670
1750 31705867
998 21535093
277 761307489
1557 352811589
1625 432004067
1083 317891920
1017 429648851
195 433667226
468 371356575
1973 63392262
1379 857536509
1459 805972671
713 377484334
771 794779021
120 176039763
1391 27623385
679 921087631
655 25947664
1954 728884254
800 152290407
1108 515169753
878 107638035
1121 280049726
1333 265340380
1756 6253604
954 415868813
946 5666946
1112 967061299
91 386339239
1613 21553456
1830 255039352
839 177155223
816 69317022
1439 994421370
1921 490905622
1346 47564279
1142 725126053
1397 978522081
517 362321635
1561 593396139
397 227996058
1071 137205699
259 34293091
1237 303083387
1064 114150217
913 26617921
484 448709490
1084 786233100
1054 554721167
1887 836227381
335 983336848
1163 583069973
1259 746756574
305 872368960
1736 340342652
1333 162990832
21 413846575
1170 104611240
834 480993374
1954 621656278
338 864089808
1555 25832082
810 74865352
1191 30901122
769 827929827
1797 243831981
973 600331987
412 486330187
1285 362122472
1427 9123055
1836 184898946
702 384735823
757 303201681
1528 834946201
1690 603262877
1354 12257879
1444 873800300
1981 407249600
611 37544917
764 247019344
173 23187644
311 298706681
1903 961136195
1467 872450174
1699 128765711
1289 140668649
426 601338442
329 737199950
1736 710891250
545 41743014
966 534209573
307 972226271
1233 954375830
1724 589916381
1623 508404053
1397 834963052
964 834414553
528 883696525
402 142869583
216 155896437
123 11729077
1751 544299781
353 73749691
520 444649491
631 485662812
155 581962002
1656 752346402
1537 276129219
1953 375675698
310 887994382
1664 604690334
762 320897129
503 451632498
1088 468672907
433 19363378
898 603824672
333 451150405
463 383257063
126 659722475
1425 882478896
1225 738935902
757 36444104
174 143507432
1943 72375957
51 767178331
523 260019717
1125 361741230
1039 880075410
508 874905788
540 721889387
637 451078048
148 983491809
345 904910200
1106 19374553
1574 884894921
12 503604119
1158 622053603
569 32505897
1235 540884172
1445 873992404
1313 202345427
891 8559857
1030 936308025
1517 436835434
1356 848616021
357 367694760
1428 462698412
435 985335094
1345 330360123
73 668260939
1064 131247114
635 279385786
804 612311950
1630 600812878
1517 761764947
1120 8143195
333 18799773
765 373141888
1447 191554470
1498 493930855
1569 106948458
160 665530195
769 597631483
1042 348951033
1418 884119589
1214 434288904
830 469550631
1366 668834738
1847 749035046
827 740546930
532 387692783
1846 129933667
1389 503977057
529 161181319
1693 511456811
806 45101028
206 818696675
1050 628450854
1877 290532005
523 2978979
1352 177684247
1978 375799643
672 49755384
1646 997667029
712 525367572
1724 62373278
1351 54717854
476 110908960
440 309941630
250 75010904
909 67475375
1791 177232616
1445 609092511
508 24787591
1470 409286245
1158 196478619
213 566192209
1176 658508696
1849 460873506
782 972442447
1485 144885888
1272 491605121
1336 62392678
360 476773330
935 380064870
1918 158426600
151 975641349
245 833065195
1681 35870065
1113 907452231
10 60845339
77 289623397
767 520574910
603 484289676
1981 63840816
1137 795678023
158 30213172
1824 389016766
1074 320570498
1790 851848468
957 473028130
1350 843846798
1285 393921942
1538 612378988
869 132708554
190 464200582
1900 266577257
23 372458286
1423 273426635
916 768372448
1460 894027667
1490 15721791
1600 559886529
1585 243917596
623 500003816
731 77791257
267 43865991
492 323434175
1623 250990803
88 771229681
1448 764514496
70 698173185
871 846528795
103 655593461
1405 947001579
1771 530837899
748 735240784
202 46076910
991 606652770
1031 780507121
444 54771836
144 9285782
1889 920527627
1386 50811071
1178 405265529
316 305092399
787 279240302
557 455089706
1699 800441146
1094 303258420
541 403856067
1849 861499143
1033 513189437
841 954390232
1638 407873877
557 630046472
1723 620190111
1184 244810409
1830 513997593
1134 194416424
1004 134996346
1442 803331995
805 126289471
66 573463701
829 202192947
1717 435667520
1851 639145252
886 33740859
1689 319981983
983 375132704
1770 336905811
986 156836550
1763 130120929
1403 744842174
869 132155095
1254 550221076
604 861878546
490 895088548
676 869679455
993 39652465
1195 752192967
133 561295150
581 369253766
1722 453099141
709 844366021
26 580368403
1595 966838174
1323 268792539
605 42762081
1583 191741193
834 388043500
1722 81837582
1211 12506370
1773 545313149
830 335854099
1714 27846648
311 322640185
1079 198490510
645 940396548
26 53988271
646 51945272
1776 766838416
1716 482543108
1136 526712877
233 652399772
1323 925002129
527 32617027
1357 448752302
1145 372424406
912 158224336
1479 702632429
1064 475499822
36 293818121
143 812237776
1679 364405313
266 461758575
676 785875109
1260 660552360
1144 330039984
211 629688326
924 52674614
168 155528119
1879 689875565
447 406601185
1361 678621035
1792 67149349
598 535314343
939 913204465
755 640956961
1030 949535501
675 591090317
1570 444564896
1309 943827049
21 83245486
1436 524582484
1368 794395749
1344 365422994
1801 750858664
807 226312470
1562 172719529
985 172655
1788 933943956
1105 562206121
239 713655887
1168 972318647
1561 178019721
133 513782061
1405 973880367
865 894966722
699 952012128
496 339096137
799 16990995
317 824599379
1573 88452462
829 484831662
1894 495357275
1258 188452116
1865 950013984
1569 847066545
209 677893766
934 728753114
1820 324279132
1073 272428012
673 910772614
1442 679139224
995 11146666
94 208533200
1401 966945697
612 13327147
799 768179451
1313 831078590
776 543077059
1997 64918558
107 322517120
1239 192835676
669 599832912
1484 130765743
626 494242393
975 21288766
1182 619774468
589 399179915
1530 901537076
51 40591809
369 912107771
1554 775737382
944 656530132
970 468681884
931 982999454
1537 217642420
602 172565132
1905 352122015
1692 990893632
1939 998350237
353 830078893
832 86404455
1804 752364888
1508 583429819
461 191697804
218 631165733
476 58086995
1351 85917011
142 617779803
169 788813185
985 698621655
844 4860016
669 671901105
1943 489622658
1922 3927008
26 280136062
1035 215579739
567 890119303
1926 330580407
819 382421775
305 571801846
672 17329407
560 463323883
1467 165117569
1502 52158358
862 411967954
738 571453082
1818 621408175
85 461243737
1084 413355210
789 276430500
1165 57551290
1134 349004646
1629 746202006
1501 695181750
1768 194746907
1063 31930737
1850 131010242
1693 606106358
372 797656213
589 511500100
1035 983713693
1042 479543919
92 25643312
404 381490101
16 978072986
1751 950382339
1504 35085794
1548 411908692
1747 45454825
1973 447274086
1127 50856868
988 851970711
594 793608531
1551 734890344
275 41331349
1263 315146141
639 559516630
1862 10563066
673 19714676
616 331308450
604 513951185
1081 347526700
362 879990752
1387 214094424
989 519985975
1756 24832866
1677 387926068
1321 126217205
282 685111027
1724 847203206
526 579527688
1888 552114163
256 560268205
613 872526236
1025 483215275
1794 776918936
708 490311109
1769 349640463
1275 31919001
1917 483131076
769 583390968
105 54347548
1678 476732244
1054 430165388
522 277238929
1984 922994498
1998 480747917
1501 967328350
1524 666459351
1285 145784281
593 618383067
475 858221456
929 56894782
316 831221868
470 714019435
886 912130212
301 97704450
389 31891446
776 980961916
148 17355338
450 67236469
1650 966151750
1430 67655876
166 198334960
824 205535864
1004 32104
525 8030381
1247 55692124
457 248854624
553 992410165
479 195453029
842 495806343
1963 301023697
884 46498776
1203 201750360
915 787028014
1240 612207061
1750 259180314
1433 197087255
865 710072066
1002 561413526
1864 937050519
1336 366677508
614 411875589
1466 751819752
644 610328911
871 730265115
653 625642848
395 732404181
1095 983099689
310 144852838
1667 774507683
1269 483834907
175 630940445
966 571784773
896 92156982
1199 65697617
1847 268470782
440 481370959
739 25038916
1164 374474906
45 703255191
350 877521027
1108 754594875
1535 557660769
1020 8946915
46 334999403
1864 37034962
145 276490227
259 883373061
32 596164923
539 479797101
1728 533319336
871 621810276
1904 682334368
1795 770262510
276 795693991
1289 268308537
761 111328885
307 631377269
1753 877259641
1977 476472818
1648 129150608
1826 563893563
1549 569470490
656 625340229
1428 201113780
969 537169919
460 985055463
1873 678316147
820 938776353
1355 998167005
1818 413769378
217 485526318
364 324408969
677 34667752
1909 21112970
1469 775741933
795 62194367
1939 262718308
1812 968199788
1800 338463534
786 423590457
28 571141165
1358 720496773
89 623695536
245 228913181
274 27228366
391 747570400
1851 347513065
1059 716364004
1387 794016516
967 676033178
117 207996182
283 31300033
861 562702272
888 901423364
1212 374287619
998 519623896
288 365957247
1988 893268225
74 137020874
1635 20117584
309 42809092
741 742032158
289 20127242
1250 215486601
763 52813719
528 948728635
1622 317087700
756 509761489
147 734358213
115 787461217
530 845119384
389 29273621
1525 426272963
1285 802045740
383 337922481
976 48687680
1422 689883529
1119 615521410
536 832610933
630 92679352
1544 453133109
1623 680692373
726 714843324
1805 13530096
1935 496798605
1971 247555080
548 37106197
748 635306259
899 702472198
1927 54594004
1200 758651942
841 986213707
626 61993655
723 716092584
1727 632476983
98 808352292
73 329765562
1075 275947038
1118 24326536
1145 840770070
542 441154974
1615 712692296
1042 30507453
528 775187914
578 139278334
122 760447104
639 860360212
1540 57678383
396 44814334
580 670010675
581 551723828
1070 431685247
653 112523946
336 59842063
1777 698933321
779 571305853
1919 18641113
1371 669942224
1536 547093957
302 784604916
1801 365430753
1672 140248773
1355 299341002
837 974283016
727 679366155
514 735342456
200 670603225
557 732510926
1096 468831636
1635 759492349
586 65390171
1122 143888939
1041 49812780
171 920376367
1390 956594059
1991 723975679
1148 68687605
1121 759200794
1247 851421047
1101 680588527
1405 669421998
1126 521262285
1225 661717218
1814 753550584
1029 5913812
314 839185727
920 781753084
694 968793760
391 295718711
805 170905199
1072 916431060
166 306781344
915 31517789
226 33005579
307 263960331
1197 814774553
1099 546423530
1121 444362014
1254 450148535
1712 712120423
1807 832832861
213 612122872
1496 872124384
136 17231065
681 902176216
204 797084630
1454 33316217
518 119024982
1804 507316879
1604 949192851
1849 94635529
452 756063789
1400 435886344
1269 850584003
1801 13126533
922 66251918
451 20238960
1470 563870457
1592 265921310
1554 416586963
1270 264661955
1806 459853422
40 267864335
364 156544951
1545 825721574
1185 22860303
456 424406360
51 939051359
1405 463639661
254 64321149
1740 485411521
1382 430600963
1110 750509262
1949 174212443
1504 120532754
1281 141908253
146 399224286
755 25837566
779 41638214
513 365842308
194 620102263
1073 31907211
864 241335867
914 626704649
857 918421745
1582 487665230
1208 927312628
410 836777355
902 321747390
1726 793754226
1562 981255425
1165 899736846
1106 299536345
1936 342479883
1053 561579330
838 372246897
255 997706969
244 72584955
810 745185373
1095 933915271
558 621509337
1657 51113365
830 887785072
1073 375723510
431 205906725
442 576843147
242 910206036
1282 82231585
960 268664369
1718 237333986
1851 545244261
538 41652724
751 636416312
1303 500385607
1662 509693755
1142 48366625
748 176268888
438 40450875
410 36198215
958 254146886
461 971474490
109 504764805
1773 875722714
668 616475343
491 91813014
1348 292493657
1736 185724182
891 256063692
384 95477656
19 893037796
315 994402236
1200 825616341
681 928447423
1891 177652450
1968 314534009
428 53338462
15 405864098
583 335191990
380 935785278
78 329267469
173 424746238
1954 671246898
175 36302158
1172 996053989
764 71106621
1635 789364720
1546 428186906
496 495767824
1775 28049172
1933 575079953
129 798076034
492 100848647
1488 782980555
1177 317265874
580 977470623
741 418342740
1892 35463971
968 601160957
1838 839738576
637 767365811
634 889887625
99 734495833
1513 977800171
401 59639430
1925 279751763
1149 652106451
153 927078474
696 862623263
708 120850920
307 889562205
1964 585981287
1017 60528954
957 450006296
316 452111031
1044 511250226
1235 564386791
847 750301596
1665 202291303
1360 517423639
1823 115054608
303 497689
964 140563156
1808 298500421
1919 74813755
1148 426774299
470 665765458
1589 688278793
1416 104487339
1758 905664108
331 651250172
15 928711426
284 942061131
501 670389675
1231 3467387
746 527334653
1466 44936563
794 131044664
315 609288709
526 80728683
897 776774950
459 241729916
645 883561168
131 20494933
678 980979156
529 212118417
455 639796543
832 211589810
1401 62065685
190 265796333
250 784914310
221 312436586
1729 355459183
793 770913341
698 555505910
586 383578468
114 641164003
343 485527387
1891 967712158
1818 510644063
1177 927832042
754 792579086
1976 35825248
1519 4362565
1170 783966352
1544 138676525
818 545505338
1438 806532944
497 432665786
1778 904018267
198 604207004
25 816800197
966 862833670
625 35304963
1958 973413076
114 41018740
1133 19299141
1808 36975938
235 597958186
529 827223487
1357 939976570
913 7477028
1026 179829528
89 977218227
1688 60825399
40 783207238
1708 281482521
1966 511741876
76 368843287
180 727921137
1621 52445696
908 579853485
228 681535464
383 604346466
917 164515352
3 607688645
851 616027730
905 608822425
405 767615387
539 795060416
161 334866935
1046 617471546
1154 636552746
511 237486884
1184 84234695
1099 626525666
1037 872492127
320 893781966
292 378562799
1882 498471404
1932 373856054
591 892505287
1888 851936774
1675 791087225
1002 894935894
881 534302649
1755 40623893
551 679795557
158 483380386
1274 546160689
127 404640609
119 616228381
1051 940549530
988 508967275
925 891111630
888 62197461
1101 150353103
496 184922900
780 460798911
690 977349336
1511 716468596
1147 538156043
1423 509171498
1055 664893526
223 111043612
1626 897206339
1571 538054210
659 887600986
120 807275341
383 55752982
1734 924547195
1668 803477892
504 439388976
1957 484564296
542 189227669
1830 444645640
1746 280905240
457 861936374
847 23233108
1765 442943409
1082 422703796
151 330391866
1340 235301518
1014 836835330
779 479647526
151 388798783
679 120923982
1063 813168303
219 989758250
1864 967761558
1607 791427829
1136 785003191
630 22639495
1671 506459653
891 957737993
1728 851499987
1559 43062462
960 495693365
1270 684238122
265 73334892
355 715205604
581 874463640
718 886736516
1103 121426936
1879 9192134
871 808871852
1462 164285839
399 532418312
1521 494566634
1961 667001903
1802 171997843
479 649511501
588 63547817
1023 706244910
933 2968075
1195 301190305
488 125367663
303 211266239
1932 274032118
1574 663364665
543 784486051
1091 992087536
1011 353526911
355 7621546
1685 608496088
1039 642908524
64 222709235
260 984934257
1525 621435486
520 932063067
1729 937256153
1409 481192341
76 351893210
497 882294699
188 87276233
245 949615024
744 912605545
984 403956431
1597 134439142
572 166733619
683 962834505
1287 132239406
1670 302561915
1281 474742041
1724 685493520
1380 171652952
1519 802780411
1918 3445407
1236 990051193
190 960349171
507 362471382
1330 507935199
780 984820137
1825 777114850
218 657878140
1792 508694113
1914 935176522
1664 118325677
1976 751752508
1504 582224551
866 29177596
143 571251041
23 295708423
850 862812508
1718 942537694
1540 523669678
58 174716275
1637 826607548
761 681541716
1501 618417104
1273 245042626
1585 874073943
894 922484009
1040 650606885
1260 308365481
548 583008147
248 210057110
1689 884748666
786 196318399
886 37516859
817 63968323
1126 9589478
968 634585823
7 969684412
1782 30255520
636 495303122
930 248301501
1138 858624913
939 602011623
1688 807658859
796 488435947
1005 711072065
1123 435720601
1170 194709091
978 215792009
1921 6697810
807 97848130
1213 194796033
109 535801065
1997 797063414
1892 926478913
1271 63344336
223 388211080
1632 121058774
718 876971400
1728 612147100
1545 73127589
1611 530126818
97 97233278
751 189170857
218 276188686
761 62573602
749 101114738
107 879602617
1982 857279474
1541 442445449
1785 155142892
1884 39757995
1825 56426063
1773 841083666
750 257938167
1391 295259449
535 793116677
1657 447736123
362 382136185
1793 603168530
502 46580165
895 736817213
428 522280779
1120 578088736
1048 702329620
1450 661526945
432 275233545
558 16685604
1989 327594534
757 547506325
999 334727798
547 450559021
438 690817907
686 838830535
1363 158909232
338 898071333
1153 64590635
588 117343680
1505 693670779
1811 693850504
274 457521267
664 451085082
1390 103495900
1890 346019315
1481 753017039
502 884101269
517 140781850
250 969051211
409 635875351
231 679554944
1361 5386305
682 92858482
1113 265281318
1586 412739570
451 657092367
668 377823482
102 29389693
357 516082740
149 623997469
128 288863297
1570 341113005
1248 616914139
149 322800759
1157 593291786
584 62939628
882 522260341
1631 597385231
1777 782199056
752 713174321
1994 398826619
315 590220030
551 44759557
1426 303212257
578 786069543
330 37323160
1994 220470902
194 882420294
702 462081441
385 21628411
426 166073342
956 366459381
261 611666211
1419 207296463
955 514196479
1128 37641282
1583 82298526
1729 418227429
399 917639959
1770 68676470
1184 772186673
254 386660823
307 801452406
971 423083284
1142 956460523
1252 976340501
473 89100845
799 425612835
1307 656851117
810 379591756
771 850484437
587 430200474
146 314941962
166 100944425
610 857136788
1103 346379670
706 514644427
1542 883304240
438 967648582
1712 535458049
857 71893192
746 563904719
399 699512269
843 687593591
1351 409056980
1116 17044800
832 347061452
1341 650143714
597 684286102
278 855472335
1218 597296542
1702 820566722
239 214762695
1834 39996686
1210 972000579
815 200181385
711 27326633
1864 569938351
1337 568445335
750 842108673
36 20415768
1877 488778286
1317 519951017
1534 696435067
240 308114005
797 99880126
143 578477071
292 807069508
1137 421910873
558 773732300
1430 128093207
465 149245011
81 414664994
974 327153710
364 840423393
356 2061528
482 852263911
1895 715892377
853 15277815
1438 831662138
1458 284005821
112 346744082
99 427068654
83 968294057
374 180550084
1307 357587112
1117 826726098
119 150080649
921 281943596
447 793158271
1417 14733418
470 803891527
921 48456204
906 287786978
555 536518529
1022 591879767
639 65055320
52 77666152
1673 798741281
226 499397053
1367 792318351
878 191127977
1304 789519288
1931 429989887
1892 25909195
1270 869586444
1063 46698802
1989 83638944
1356 60851543
1153 439531753
1352 247642185
1107 192043490
890 252389227
577 172201555
1977 235159277
773 206692087
231 142631004
1179 675510616
424 354383015
250 783917172
1606 151865066
1608 21980474
374 192163313
665 600303100
590 452455609
1444 985122251
1534 440965583
569 855399298
1965 535904801
201 550650994
1434 509620810
988 36631350
391 889829585
1392 995021957
1764 282085393
1389 663028679
1103 809005548
1048 431217965
1856 28011576
804 911604299
158 932584785
1219 245691335
1066 880869013
502 716255608
100 188231721
1369 822978179
1624 605051812
717 52865994
592 546760366
1570 408245733
1973 267719435
420 576565005
1595 667448947
1209 54041417
283 276955755
1280 682455885
317 474399392
191 582716764
531 393630933
1866 744428529
442 946036396
1034 335964133
515 81514555
16 136611602
1926 685095396
1374 320042708
1994 975582834
1043 477456839
1000 241840596
834 549553666
679 73032706
332 748206478
1088 731813569
989 685535441
1145 181232979
1611 105771974
254 756852263
514 161807271
1983 961182389
1007 9267010
876 351916266
1385 811745856
620 824309180
1249 12670643
1184 155158119
1989 360922477
477 190745298
513 170141941
1333 348605328
1017 796863088
279 580700885
564 821012470
658 70983381
1128 201118564
353 339615070
867 774519682
1563 219639715
1753 353830468
1590 706209847
1425 600440317
313 573869002
75 448843819
